"FAWN Station","Period","2m Rain tot (in)","2m Rain max over 15min (in)","N (# obs)"
"Homestead","1 Jun 2023  3:00 PM","0.07","0.05","4"
"Homestead","1 Jun 2023  4:00 PM","0.04","0.04","4"
"Homestead","1 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","1 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","2 Jun 2023  11:00 AM","0.01","0.01","4"
"Homestead","2 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  1:00 PM","0.01","0.01","4"
"Homestead","2 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","2 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","3 Jun 2023  11:00 AM","0.19","0.13","4"
"Homestead","3 Jun 2023  12:00 PM","0.07","0.03","4"
"Homestead","3 Jun 2023  1:00 PM","0.01","0.01","4"
"Homestead","3 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","3 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  12:00 AM","0.07","0.06","4"
"Homestead","4 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  2:00 AM","0.01","0.01","4"
"Homestead","4 Jun 2023  3:00 AM","0.01","0.01","4"
"Homestead","4 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","4 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","4 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  1:00 AM","0.05","0.05","4"
"Homestead","5 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","5 Jun 2023  12:00 PM","0.01","0.01","4"
"Homestead","5 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","5 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  7:00 AM","0.07","0.04","4"
"Homestead","6 Jun 2023  8:00 AM","0.01","0.01","4"
"Homestead","6 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","6 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","6 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","7 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  1:00 PM","0.07","0.07","4"
"Homestead","7 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","7 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  4:00 AM","0.15","0.13","4"
"Homestead","8 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","8 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  5:00 PM","0.01","0.01","4"
"Homestead","8 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","8 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","9 Jun 2023  10:00 AM","0.23","0.17","4"
"Homestead","9 Jun 2023  11:00 AM","0.30","0.12","4"
"Homestead","9 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  4:00 PM","0.01","0.01","4"
"Homestead","9 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  9:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  10:00 PM","0.00","0.00","4"
"Homestead","9 Jun 2023  11:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  12:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  1:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  2:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  3:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  4:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  5:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  6:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  7:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  8:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  9:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  10:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  11:00 AM","0.00","0.00","4"
"Homestead","10 Jun 2023  12:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  1:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  2:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  3:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  4:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  5:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  6:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  7:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  8:00 PM","0.00","0.00","4"
"Homestead","10 Jun 2023  9:00 PM","0.00","0.00","4"
